Date;Hour;Temperature(°C);Humidity(%);Wind speed (m/s);Visibility (10m);Dew point temperature(°C);Solar Radiation (MJ/m2);Rainfall(mm);Snowfall (cm);Seasons;Holiday;Functioning Day;Rented Bike Count
1.12.2017;0;-52;37;22;2000;-176;0;0;0;Winter;No Holiday;Yes;254
1.12.2017;1;-55;38;8;2000;-176;0;0;0;Winter;No Holiday;Yes;204
1.12.2017;2;-6;39;1;2000;-177;0;0;0;Winter;No Holiday;Yes;173
1.12.2017;3;-62;40;9;2000;-176;0;0;0;Winter;No Holiday;Yes;107
1.12.2017;4;-6;36;23;2000;-186;0;0;0;Winter;No Holiday;Yes;78
1.12.2017;5;-64;37;15;2000;-187;0;0;0;Winter;No Holiday;Yes;100
1.12.2017;6;-66;35;13;2000;-195;0;0;0;Winter;No Holiday;Yes;181
1.12.2017;7;-74;38;9;2000;-193;0;0;0;Winter;No Holiday;Yes;460
1.12.2017;8;-76;37;11;2000;-198;1;0;0;Winter;No Holiday;Yes;930
1.12.2017;9;-65;27;5;1928;-224;23;0;0;Winter;No Holiday;Yes;490
1.12.2017;10;-35;24;12;1996;-212;65;0;0;Winter;No Holiday;Yes;339
1.12.2017;11;-5;21;13;1936;-202;94;0;0;Winter;No Holiday;Yes;360
1.12.2017;12;17;23;14;2000;-172;111;0;0;Winter;No Holiday;Yes;449
1.12.2017;13;24;25;16;2000;-156;116;0;0;Winter;No Holiday;Yes;451
1.12.2017;14;3;26;2;2000;-146;101;0;0;Winter;No Holiday;Yes;447
1.12.2017;15;21;36;32;2000;-114;54;0;0;Winter;No Holiday;Yes;463
1.12.2017;16;12;54;42;793;-7;24;0;0;Winter;No Holiday;Yes;484
1.12.2017;17;8;58;16;2000;-65;8;0;0;Winter;No Holiday;Yes;555
1.12.2017;18;6;66;14;2000;-5;0;0;0;Winter;No Holiday;Yes;862
1.12.2017;19;0;77;17;2000;-35;0;0;0;Winter;No Holiday;Yes;600
1.12.2017;20;-3;79;15;1913;-35;0;0;0;Winter;No Holiday;Yes;426
1.12.2017;21;-8;81;8;1687;-36;0;0;0;Winter;No Holiday;Yes;405
1.12.2017;22;-9;83;15;1380;-34;0;0;0;Winter;No Holiday;Yes;398
1.12.2017;23;-13;84;1;1265;-36;0;0;0;Winter;No Holiday;Yes;323
2.12.2017;0;-18;87;11;994;-36;0;0;0;Winter;No Holiday;Yes;328
2.12.2017;1;-22;86;6;990;-42;0;0;0;Winter;No Holiday;Yes;308
2.12.2017;2;-29;86;15;1256;-49;0;0;0;Winter;No Holiday;Yes;262
2.12.2017;3;-35;81;22;1221;-62;0;0;0;Winter;No Holiday;Yes;167
2.12.2017;4;-38;79;2;1167;-69;0;0;0;Winter;No Holiday;Yes;89
2.12.2017;5;-4;79;15;1202;-71;0;0;0;Winter;No Holiday;Yes;79
2.12.2017;6;-43;82;21;1178;-69;0;0;0;Winter;No Holiday;Yes;70
2.12.2017;7;-44;81;25;1276;-71;0;0;0;Winter;No Holiday;Yes;146
2.12.2017;8;-42;79;21;1436;-73;1;0;0;Winter;No Holiday;Yes;219
2.12.2017;9;-29;68;16;1487;-79;3;0;0;Winter;No Holiday;Yes;328
2.12.2017;10;-4;57;16;1309;-78;8;0;0;Winter;No Holiday;Yes;334
2.12.2017;11;19;49;18;1406;-77;1;0;0;Winter;No Holiday;Yes;388
2.12.2017;12;43;41;13;1666;-78;109;0;0;Winter;No Holiday;Yes;479
2.12.2017;13;6;36;18;1780;-79;112;0;0;Winter;No Holiday;Yes;606
2.12.2017;14;73;35;13;1955;-71;99;0;0;Winter;No Holiday;Yes;611
2.12.2017;15;76;41;23;1953;-48;74;0;0;Winter;No Holiday;Yes;589
2.12.2017;16;64;48;26;1945;-38;22;0;0;Winter;No Holiday;Yes;618
2.12.2017;17;6;51;25;1891;-33;6;0;0;Winter;No Holiday;Yes;572
2.12.2017;18;55;53;15;1697;-33;0;0;0;Winter;No Holiday;Yes;489
2.12.2017;19;5;52;23;1666;-4;0;0;0;Winter;No Holiday;Yes;385
2.12.2017;20;46;51;12;1585;-46;0;0;0;Winter;No Holiday;Yes;359
2.12.2017;21;41;55;12;1448;-41;0;0;0;Winter;No Holiday;Yes;377
2.12.2017;22;35;54;15;1446;-49;0;0;0;Winter;No Holiday;Yes;354
2.12.2017;23;4;56;1;1352;-4;0;0;0;Winter;No Holiday;Yes;366
3.12.2017;0;4;58;14;1296;-35;0;0;0;Winter;No Holiday;Yes;342
3.12.2017;1;39;69;17;485;-12;0;0;0;Winter;No Holiday;Yes;227
3.12.2017;2;33;79;14;830;0;0;0;0;Winter;No Holiday;Yes;228
3.12.2017;3;34;71;16;1011;-13;0;5;0;Winter;No Holiday;Yes;117
3.12.2017;4;35;73;1;1060;-8;0;0;0;Winter;No Holiday;Yes;76
3.12.2017;5;39;75;19;914;-1;0;0;0;Winter;No Holiday;Yes;32
3.12.2017;6;34;86;25;278;12;0;1;0;Winter;No Holiday;Yes;13
3.12.2017;7;31;91;12;129;17;0;0;0;Winter;No Holiday;Yes;22
3.12.2017;8;32;92;18;244;2;0;0;0;Winter;No Holiday;Yes;85
3.12.2017;9;35;91;18;231;21;2;25;0;Winter;No Holiday;Yes;152
3.12.2017;10;44;89;22;257;27;24;0;0;Winter;No Holiday;Yes;200
3.12.2017;11;51;87;14;321;31;25;0;0;Winter;No Holiday;Yes;273
3.12.2017;12;58;85;17;349;34;43;0;0;Winter;No Holiday;Yes;333
3.12.2017;13;68;81;19;390;37;6;0;0;Winter;No Holiday;Yes;495
3.12.2017;14;76;76;12;422;36;69;0;0;Winter;No Holiday;Yes;563
3.12.2017;15;8;73;16;433;34;53;0;0;Winter;No Holiday;Yes;621
3.12.2017;16;76;77;16;399;38;2;0;0;Winter;No Holiday;Yes;598
3.12.2017;17;67;82;15;358;38;5;0;0;Winter;No Holiday;Yes;545
3.12.2017;18;6;84;19;327;34;0;0;0;Winter;No Holiday;Yes;443
3.12.2017;19;57;85;17;309;33;0;0;0;Winter;No Holiday;Yes;422
3.12.2017;20;52;87;14;253;32;0;0;0;Winter;No Holiday;Yes;397
3.12.2017;21;47;87;12;247;27;0;0;0;Winter;No Holiday;Yes;385
3.12.2017;22;43;89;18;201;26;0;0;0;Winter;No Holiday;Yes;350
3.12.2017;23;39;90;13;194;24;0;0;0;Winter;No Holiday;Yes;303
4.12.2017;0;42;88;6;216;23;0;0;0;Winter;No Holiday;Yes;285
4.12.2017;1;43;87;5;221;23;0;0;0;Winter;No Holiday;Yes;186
4.12.2017;2;44;87;18;207;24;0;0;0;Winter;No Holiday;Yes;112
4.12.2017;3;36;85;23;206;13;0;0;0;Winter;No Holiday;Yes;65
4.12.2017;4;28;89;15;130;11;0;0;0;Winter;No Holiday;Yes;41
4.12.2017;5;2;83;27;253;-5;0;0;0;Winter;No Holiday;Yes;82
4.12.2017;6;12;76;37;371;-25;0;1;0;Winter;No Holiday;Yes;200
4.12.2017;7;2;68;34;702;-5;0;0;0;Winter;No Holiday;Yes;498
4.12.2017;8;-8;69;35;954;-57;1;0;0;Winter;No Holiday;Yes;937
4.12.2017;9;-15;47;42;1888;-113;22;0;0;Winter;No Holiday;Yes;509
4.12.2017;10;-11;40;45;2000;-13;64;0;0;Winter;No Holiday;Yes;311
4.12.2017;11;-5;41;41;1799;-121;94;0;0;Winter;No Holiday;Yes;379
4.12.2017;12;-3;38;48;1823;-129;111;0;0;Winter;No Holiday;Yes;393
4.12.2017;13;0;30;54;1938;-155;117;0;0;Winter;No Holiday;Yes;391
4.12.2017;14;1;27;45;2000;-167;109;0;0;Winter;No Holiday;Yes;338
4.12.2017;15;-1;25;58;2000;-178;88;0;0;Winter;No Holiday;Yes;341
4.12.2017;16;-2;23;47;2000;-188;55;0;0;Winter;No Holiday;Yes;375
4.12.2017;17;-13;26;53;2000;-183;18;0;0;Winter;No Holiday;Yes;515
4.12.2017;18;-21;29;39;2000;-177;0;0;0;Winter;No Holiday;Yes;807
